 INFO  Accepting connections at http://localhost:3000
 HTTP  2/2/2026 12:09:14 PM ::1 GET /culture
 HTTP  2/2/2026 12:09:14 PM ::1 Returned 404 in 153 ms
 HTTP  2/2/2026 12:09:14 PM ::1 GET /culture/_next/static/media/4cf2300e9c8272f7-s.p.woff2
 HTTP  2/2/2026 12:09:14 PM ::1 Returned 404 in 4 ms
 HTTP  2/2/2026 12:09:14 PM ::1 GET /culture/_next/static/css/dbab3859e94f4a36.css
 HTTP  2/2/2026 12:09:14 PM ::1 GET /culture/_next/static/media/93f479601ee12b01-s.p.woff2
 HTTP  2/2/2026 12:09:14 PM ::1 Returned 404 in 2 ms
 HTTP  2/2/2026 12:09:14 PM ::1 Returned 404 in 2 ms
 HTTP  2/2/2026 12:09:15 PM ::1 GET /culture/_next/static/css/e7d60130e68b0db0.css
 HTTP  2/2/2026 12:09:15 PM ::1 Returned 404 in 1 ms
 HTTP  2/2/2026 12:09:15 PM ::1 GET /culture/_next/static/chunks/webpack-223626e23d6617c8.js
 HTTP  2/2/2026 12:09:15 PM ::1 Returned 404 in 2 ms
 HTTP  2/2/2026 12:09:15 PM ::1 GET /culture/_next/static/chunks/4bd1b696-01b4a2ffa8bac205.js
 HTTP  2/2/2026 12:09:15 PM ::1 Returned 404 in 6 ms
 HTTP  2/2/2026 12:09:15 PM ::1 GET /culture/_next/static/chunks/794-4d270ba25faf55cf.js
 HTTP  2/2/2026 12:09:15 PM ::1 GET /culture/_next/static/chunks/main-app-7dda00b53c886147.js
 HTTP  2/2/2026 12:09:15 PM ::1 GET /culture/_next/static/chunks/624-6f88d9f96dc14566.js
 HTTP  2/2/2026 12:09:15 PM ::1 Returned 404 in 3 ms
 HTTP  2/2/2026 12:09:15 PM ::1 Returned 404 in 3 ms
 HTTP  2/2/2026 12:09:15 PM ::1 Returned 404 in 2 ms
 HTTP  2/2/2026 12:09:15 PM ::1 GET /culture/_next/static/chunks/app/layout-870af5d92e916fb8.js
 HTTP  2/2/2026 12:09:15 PM ::1 GET /culture/_next/static/chunks/app/error-b73a178482d23cbe.js
 HTTP  2/2/2026 12:09:15 PM ::1 GET /culture/_next/static/chunks/app/global-error-d037190ee9a5ddd4.js
 HTTP  2/2/2026 12:09:15 PM ::1 Returned 404 in 1 ms
 HTTP  2/2/2026 12:09:15 PM ::1 Returned 404 in 0 ms
 HTTP  2/2/2026 12:09:15 PM ::1 Returned 404 in 0 ms
 HTTP  2/2/2026 12:09:15 PM ::1 GET /culture/_next/static/chunks/webpack-223626e23d6617c8.js
 HTTP  2/2/2026 12:09:15 PM ::1 GET /culture/_next/static/chunks/4bd1b696-01b4a2ffa8bac205.js
 HTTP  2/2/2026 12:09:15 PM ::1 GET /culture/_next/static/chunks/main-app-7dda00b53c886147.js
 HTTP  2/2/2026 12:09:15 PM ::1 Returned 404 in 1 ms
 HTTP  2/2/2026 12:09:15 PM ::1 Returned 404 in 1 ms
 HTTP  2/2/2026 12:09:15 PM ::1 Returned 404 in 1 ms
 HTTP  2/2/2026 12:09:15 PM ::1 GET /culture/_next/static/chunks/624-6f88d9f96dc14566.js
 HTTP  2/2/2026 12:09:15 PM ::1 Returned 404 in 1 ms
 HTTP  2/2/2026 12:09:15 PM ::1 GET /culture/_next/static/chunks/794-4d270ba25faf55cf.js
 HTTP  2/2/2026 12:09:15 PM ::1 GET /culture/_next/static/chunks/app/layout-870af5d92e916fb8.js
